quarter,CLLE-ES
06/19/2014 - 11:53,97.5
06/19/2014 - 11:58,97.5
06/19/2014 - 13:08,97.5
06/19/2014 - 14:02,97.5
06/19/2014 - 16:02,97.5
06/20/2014 - 10:04,97.5
06/20/2014 - 10:08,97.5
06/20/2014 - 12:03,97.5
06/20/2014 - 13:20,97.5
06/20/2014 - 14:04,97.5
