Project	Total
BOCA-UK	21
BRCA-EU	41
BRCA-UK	38
PACA-CA	43
BLCA-US	2
BRCA-US	135
CESC-US	28
CLLE-ES	2
COAD-US	26
GBM-US	17
HNSC-US	34
KICH-US	31
KIRC-US	25
KIRP-US	13
LAML-US	38
LGG-US	26
LUAD-US	23
OV-US	75
PRAD-US	22
READ-US	17
SARC-US	54
SKCM-US	38
STAD-US	15
THCA-US	7
UCEC-US	51
