quarter,PBCA-DE,MALY-DE,EOPC-DE
06/19/2014 - 11:53,378,88,22
06/19/2014 - 11:58,378,88,22
06/19/2014 - 13:08,378,88,22
06/19/2014 - 14:02,378,88,22
06/19/2014 - 16:02,378,88,22
06/20/2014 - 10:04,378,88,22
06/20/2014 - 10:08,378,88,22
06/20/2014 - 12:03,378,88,22
06/20/2014 - 13:20,378,88,22
06/20/2014 - 14:04,378,88,22
